id,技能,系統,区分,Lv,名称(原文),名称(正規),読み,動作,消費,条件,対象,射程/形状,時間,抵抗,属性,効果概要,参照,拡張・適用対象,備考
135,ウィザード,深智魔法,,14,【マナ・インテグレイション】,マナ・インテグレイション,マナインテグレイション,▶,MP15,,術者,術者/-,一瞬/3分(18R),任意,,ダメージを10点軽減、至近にしか魔法を使えない,MA-91,,
136,ウィザード,深智魔法,,15,【オーバーブロウ】,オーバーブロウ,オーバーブロウ,▶,MP25,,全エリア(半径30m)/空間,術者/-,3分(18R),半減,衝撃,k20で吹き飛ばす力場を展開する,MA-91,,
137,プリースト,神聖魔法,基本,1,【サニティ】,サニティ,サニティ,▶,MP3,,1体X,接触/-,一瞬,消滅,,対象の精神状態を平常に戻す,I-260/MA-95,,
138,プリースト,神聖魔法,基本,1,【フィールド・プロテクション】,フィールド・プロテクション,フィールドプロテクション,▶,MP2,,1エリア(半径3m)/5,術者/-,一瞬/3分(18R),必中,,対象の被ダメージを1点軽減,I-260/MA-95,,
139,プリースト,神聖魔法,基本/第一・第三,1,†【バニッシュ】,バニッシュ,バニッシュ,▶,MP3,,1エリア(半径3m)/5,2(30m)/起点指定,一瞬/さまざま,消滅,,蛮族とアンデッドに悪影響を与える,I-260/MA-95,,
140,プリースト,神聖魔法,基本/第二,1,‡【フィアー】,フィアー,フィアー,▶,MP3,,1エリア(半径3m)/5,2(30m)/起点指定,一瞬/さまざま,消滅,,人族とアンデッドに悪影響を与える,II-361/MA-95,,
141,プリースト,神聖魔法,基本,2,【アウェイクン】,アウェイクン,アウェイクン,▶,MP5,,1体,1(10m)/起点指定,一瞬,任意,,対象を気絶・睡眠・放心状態から覚醒させる,I-261/MA-95,,
142,プリースト,神聖魔法,基本,2,【キュア・ウーンズ】,キュア・ウーンズ,キュアウーンズ,▶,MP3,,1体,1(10m)/起点指定,一瞬,消滅,,対象をk10で回復,I-261/MA-95,,
143,プリースト,神聖魔法,基本,2,【ディテクト・フェイス】,ディテクト・フェイス,ディテクトフェイス,▶,MP4,,1体全,1(10m)/起点指定,一瞬,消滅,,対象が信仰する神の名を質す,I-261/MA-95,,
144,プリースト,神聖魔法,基本,3,【キュア・ブラインドネス】,キュア・ブラインドネス,キュアブラインドネス,▶,MP2,,1体X,接触/-,一瞬,任意,,失われた視力を回復する,I-262/MA-95,,
145,プリースト,神聖魔法,基本,3,【キュア・ポイズン】,キュア・ポイズン,キュアポイズン,▶,MP3,,1体,接触/-,一瞬,任意,,対象が受けている毒を消滅させる,I-262/MA-96,,
146,プリースト,神聖魔法,基本,3,【フィールド・レジスト】,フィールド・レジスト,フィールドレジスト,▶,MP5,,1エリア(半径5m)/15,術者/-,一瞬/3分(18R),必中,,特定の属性からのダメージを3点軽減,I-262/MA-96,,
147,プリースト,神聖魔法,基本,3,【フォース】,フォース,フォース,▶,MP4,,1体,1(10m)/射撃,一瞬,半減,衝撃,k10ダメージ,I-262/MA-96,,
148,プリースト,神聖魔法,基本,4,【フェイス・インジケイト】,フェイス・インジケイト,フェイスインジケイト,▶,MP5,,1エリア(半径5m)/15,術者/-,3分(18R),消滅,呪い,他の神の信徒の特殊神聖魔法を封じる,I-263/MA-96,,
149,プリースト,神聖魔法,基本/第一・第三,4,†【セイクリッド・ウェポン】,セイクリッド・ウェポン,セイクリッドウェポン,▶,MP3,,1体,2(30m)/起点指定,3分(18R),任意,,蛮族、アンデッドに対し武器の命中力判定+1、物理ダメージ+2,I-263/MA-96,,
150,プリースト,神聖魔法,基本/第一・第三,4,†【セイクリッド・シールド】,セイクリッド・シールド,セイクリッドシールド,▶,MP4,,1体,1(10m)/起点指定,3分(18R),任意,,蛮族、アンデッドから受ける物理ダメージを-3,I-263/MA-96,,
151,プリースト,神聖魔法,基本/第二,4,‡【ヴァイス・ウェポン】,ヴァイス・ウェポン,ヴァイスウェポン,▶,MP3,,1体,2(30m)/起点指定,3分(18R),任意,,人族、アンデッドに対し武器の命中力判定+1、物理ダメージ+2,II-361/MA-96,,
152,プリースト,神聖魔法,基本/第二,4,‡【ヴァイス・シールド】,ヴァイス・シールド,ヴァイスシールド,▶,MP4,,1体,1(10m)/起点指定,3分(18R),任意,,人族、アンデッドから受ける物理ダメージを-3,II-361/MA-96,,
153,プリースト,神聖魔法,基本,5,【キュア・ディジーズ】,キュア・ディジーズ,キュアディジーズ,▶,MP4,,1体,接触/-,一瞬,任意,,対象を病気から癒やす,I-264/MA-96,,
154,プリースト,神聖魔法,基本,5,【キュア・ハート】,キュア・ハート,キュアハート,▶,MP5,,1体,2(30m)/起点指定,一瞬,消滅,,対象をk30で回復,I-264/MA-96,,
155,プリースト,神聖魔法,基本,5,【トランスファー・マナポイント】,トランスファー・マナポイント,トランスファーマナポイント,▶,MP1+任意,,1体,1(10m)/起点指定,一瞬,消滅,,対象に自らのMPを分け与える,I-264/MA-96,,
156,プリースト,神聖魔法,基本,5,【ホーリー・ライト】,ホーリー・ライト,ホーリーライト,▶,MP6,,1エリア(半径5m)/15,術者/-,一瞬,半減,,アンデッドにk20ダメージ,I-264/MA-97,,
157,プリースト,神聖魔法,基本,6,【ブレス】,ブレス,ブレス,▶,MP5,,1体,2(30m)/起点指定,3分(18R),任意,,器用度、敏捷度、筋力、生命力のいずれかを+6,I-265/MA-97,,
158,プリースト,神聖魔法,基本,6,【ホーリー・クレイドル】,ホーリー・クレイドル,ホーリークレイドル,▶,MP4,,1エリア(半径3m)/5,術者/-,3時間,任意,精神効果,深い眠りに誘い、睡眠による回復効果を高める,I-265/MA-97,,
159,プリースト,神聖魔法,基本,6,【リムーブ・カース】,リムーブ・カース,リムーブカース,▶,MP5,,1体,接触/-,一瞬,消滅,,対象から呪いによる悪影響を排除する,I-265/MA-97,,
160,プリースト,神聖魔法,基本,7,【キュア・ストーン】,キュア・ストーン,キュアストーン,▶,MP4,,1体X,接触/-,一瞬,消滅,,石化を解除する,II-167/MA-97,,
161,プリースト,神聖魔法,基本,7,【クエスト】,クエスト,クエスト,▶,MP6,,1体全,接触/-,特殊,任意,呪い,神の試練を与える,II-167/MA-97,,
162,プリースト,神聖魔法,基本,7,【バトルソング】,バトルソング,バトルソング,▶,MP6,,1エリア(半径6m)/空間,術者/-,特殊,任意,,任意のキャラクターの命中力判定+2、ダメージ+2,II-167/MA-97,,
163,プリースト,神聖魔法,基本,8,【イクソシズム】,イクソシズム,イクソシズム,▶,MP10,,1体X,1(10m)/起点指定,一瞬,消滅,,レベル8以下のアンデッドを滅ぼす,II-168/MA-97,,
164,プリースト,神聖魔法,基本,8,【ゴッド・フィスト】,ゴッド・フィスト,ゴッドフィスト,▶,MP8〜12,,1体,1(10m)/射撃,一瞬,半減,衝撃,k20〜40ダメージ,II-168/MA-97,,
165,プリースト,神聖魔法,基本,8,【フィールド・プロテクションⅡ】,フィールド・プロテクションⅡ,フィールドプロテクション,▶,MP7,,1エリア(半径5m)/15,2(30m)/起点指定,一瞬/3分(18R),必中,,対象の被ダメージを2点軽減,II-168/MA-97,,
166,プリースト,神聖魔法,基本,9,【フォース・イクスプロージョン】,フォース・イクスプロージョン,フォースイクスプロージョン,▶,MP12,,1エリア(半径6m)/20,術者/-,一瞬,半減,衝撃,k30ダメージ,II-169/MA-98,,
167,プリースト,神聖魔法,基本,9,【プリザーベイション】,プリザーベイション,プリザーベイション,▶,MP6,,物体1つ,接触/-,永続,なし,,物体を腐敗から護る,II-169/MA-98,,
168,プリースト,神聖魔法,基本,9,【ホーリー・ブレッシング】,ホーリー・ブレッシング,ホーリーブレッシング,▶,MP8,,1体,1(10m)/起点指定,3分(18R),任意,,HP30点の防護を与える,II-169/MA-98,,
169,プリースト,神聖魔法,基本,10,【キュア・インジャリー】,キュア・インジャリー,キュアインジャリー,▶,MP8,,1体,2(30m)/起点指定,一瞬,消滅,,対象の傷をk50で癒やす,II-170/MA-98,,
170,プリースト,神聖魔法,基本,10,【リフレッシュ】,リフレッシュ,リフレッシュ,▶,MP6,,1体,接触/-,一瞬,任意,,対象の毒や病気を癒やす,II-170/MA-98,,
171,プリースト,神聖魔法,基本,10,【レベレイション】,レベレイション,レベレイション,▶,MP10,,1体全,接触/-,一瞬,任意,,信者に聖印を与え、祝福する,II-170/MA-98,,
172,プリースト,神聖魔法,基本,11,【ブレスⅡ】,ブレスⅡ,ブレス,▶,MP12,,1体,2(30m)/起点指定,3分(18R),任意,,対象の能力値をすべて+6,III-155/MA-98,,
173,プリースト,神聖魔法,基本,11,【ホーリー・ライトⅡ】,ホーリー・ライトⅡ,ホーリーライト,▶,MP9,,1エリア(半径6m)/20,術者/-,一瞬/3分(18R),半減,,アンデッドにk50ダメージ、精神抵抗力判定-2,III-155/MA-98,,
174,プリースト,神聖魔法,基本/第一・第三,11,†【サレンダー】,サレンダー,サレンダー,▶,MP13,,1体全,接触/-,一瞬,消滅,精神効果,蛮族を屈服させる,III-155/MA-98,,
175,プリースト,神聖魔法,基本/第二,11,‡【レジネーション】,レジネーション,レジネーション,▶,MP13,,1体全,接触/-,1分(6R),消滅,精神効果,人族の意気を挫く,III-337/MA-99,,
176,プリースト,神聖魔法,基本,12,【エスケープ】,エスケープ,エスケープ,▶,MP3,,1体X,2(30m)/起点指定,一瞬,任意,,神の御手で、対象を窮地から救い出す,III-156/MA-99,,
177,プリースト,神聖魔法,基本,12,【レスキュー】,レスキュー,レスキュー,▶,MP17,,1体全,接触/-,1日,任意,,対象のHPを把握し、緊急時に呼び寄せる,III-156/MA-99,,
178,プリースト,神聖魔法,基本/第一・第三,12,†【セイクリッド・フィールド】,セイクリッド・フィールド,セイクリッドフィールド,▶,MP20,,全エリア(半径100m)/空間,術者/-,一瞬/1日,なし,,蛮族とアンデッドが近づけない結界を張る,III-156/MA-99,,
179,プリースト,神聖魔法,基本/第二,12,‡【ヴァイス・フィールド】,ヴァイス・フィールド,ヴァイスフィールド,▶,MP20,,全エリア(半径100m)/空間,術者/-,一瞬/1日,なし,,人族とアンデッドが近づけない結界を張る,III-337/MA-99,,
180,プリースト,神聖魔法,基本,13,【オラクル】,オラクル,オラクル,▶,MP14,,全エリア(半径10km)/すべて,術者/-,3分(18R),必中,,遠く離れた信者たちに術者の声を聞かせる,III-157/MA-99,,
181,プリースト,神聖魔法,基本,13,【キュア・モータリー】,キュア・モータリー,キュアモータリー,▶,MP10,,1体,2(50m)/起点指定,一瞬,消滅,,対象の傷をk70で癒やす,III-157/MA-99,,
182,プリースト,神聖魔法,基本/第一・第三,13,†【イレイス・ブランデッド】,イレイス・ブランデッド,イレイスブランデッド,▶,MP50,,1体全,接触/-,一瞬,任意,,対象から「穢れ」を取る,III-157/MA-99,,
183,プリースト,神聖魔法,基本/第二,13,‡【インスタント・ブランデッド】,インスタント・ブランデッド,インスタントブランデッド,▶,MP20,,1体,2(30m)/起点指定,1分(6R),短縮,,人族を縛り、蛮族を強化する,III-337/MA-99,,
184,プリースト,神聖魔法,基本,14,【ディバイン・ウォー】,ディバイン・ウォー,ディバインウォー,▶,MP40,,全エリア(半径500m)/すべて,術者/-,6時間,任意,,神の大いなる力で戦いを導く(戦士系技能+3レベル),III-158/MA-99,,
185,プリースト,神聖魔法,基本,14,【ピュリファイ・ソウル】,ピュリファイ・ソウル,ピュリファイソウル,▶,MP20,,1体全,接触/-,一瞬,消滅,,アンデッドを消滅させる,III-158/MA-100,,
186,プリースト,神聖魔法,基本,14,【リーンカーネーション】,リーンカーネーション,リーンカーネーション,▶,MP30,,死体1つ,接触/-,一瞬,消滅,,死者を転生させる,III-158/MA-100,,
187,プリースト,神聖魔法,基本,15,【コール・ゴッド】,コール・ゴッド,コールゴッド,▶,MP50〜200,,任意の地点,2(30m)/起点指定,1分(6R),なし,,自らの信仰する神を呼び出す,III-159/MA-100,,
188,プリースト,神聖魔法,基本,15,【レストレーション】,レストレーション,レストレーション,▶,MP18,,1体,2(50m)/起点指定,一瞬,任意,,悪影響をすべてぬぐい去り、HPを「魔力×5」点回復する,III-159/MA-100,,
189,プリースト,神聖魔法,ライフォス,2,【サーチ・バルバロス】,サーチ・バルバロス,サーチバルバロス,▶,MP3,,全エリア(半径30m)/すべて,術者/-,一瞬,必中,,蛮族の存在を感知する,I-266/MA-101,,第一・古代神
190,プリースト,神聖魔法,ライフォス,4,【マインド・センディング】,マインド・センディング,マインドセンディング,▶,MP4,,1体,2(30m)/起点指定,10秒(1R),消滅,,対象の心に術者の言葉や意思を伝える,II-266/MA-101,,第一・古代神
191,プリースト,神聖魔法,ライフォス,7,【ピース】,ピース,ピース,▶,MP8,,1エリア(半径6m)/20,2(30m)/起点指定,一瞬/1時間,消滅,精神効果,戦う意思を奪う,II-171/MA-101,,第一・古代神
192,プリースト,神聖魔法,ライフォス,10,【グレイス・オブ・ルミエル】,グレイス・オブ・ルミエル,グレイスオブルミエル,▶,MP10,,1体全,2(30m)/起点指定,1時間,消滅,,対象に「剣の加護」を与える,II-171/MA-101,,第一・古代神
193,プリースト,神聖魔法,ライフォス,13,【プロミスト・サークル】,プロミスト・サークル,プロミストサークル,▶,MP10,,1エリア(半径3m)/5,接触/-,3分(18R),任意,,MPを共用する,III-160/MA-101,,第一・古代神
194,プリースト,神聖魔法,ティダン,2,【サンライト】,サンライト,サンライト,▶,MP3,,任意の地点,2(30m)/起点指定,12時間,なし,,半径20mを光で照らす,I-266/MA-101,,第一・古代神
195,プリースト,神聖魔法,ティダン,4,【レイ】,レイ,レイ,▶,MP5,,任意の地点,2(30m)/貫通,一瞬,半減,純エネルギー,k10ダメージ、アンデッドには+3,I-267/MA-101,,第一・古代神
196,プリースト,神聖魔法,ティダン,7,【ファイン・ウェザー】,ファイン・ウェザー,ファインウェザー,▶,MP8,,全エリア(半径1km)/空間,術者/-,3時間,必中,,天候を快晴にする,II-171/MA-101,,第一・古代神
197,プリースト,神聖魔法,ティダン,10,【デイブレイク】,デイブレイク,デイブレイク,▶,MP10,,任意の地点,2(1m)/起点指定,3時間,なし,,小さな太陽を生み出し、半径30mを照らす,II-172/MA-101,,第一・古代神
